sr,rr,t,lm,bo,rem,sh,hr,sl
58.48,19.696,95.696,9.696,94.544,84.24,8.570190337387695,59.24,1
98.336,28.336,87.92,18.168,85.504,102.92,4.346747190589509,80.84,4
81.08,22.288,90.144,12.36,88.144,95.36,5.79353084925285,65.72,3
46.6,16.64,96.96,5.28,95.64,66.4,8.160467491323285,51.6,0
61.6,20.16,92.16,10.16,90.16,85.8,7.049022779140509,60.4,2
96.448,26.448,85.56,17.224,82.672,100.56,4.820793653979323,76.12,4
50.24,18.048,94.048,8.048,92.072,80.12,9.964757233817211,55.12,1
49.92,17.968,98.952,7.936,96.968,79.68,8.224077804336105,54.92,0
60.48,20.048,92.048,10.048,90.048,85.24,6.795711198091484,60.12,2
99.136,29.136,88.92,18.568,86.704,103.92,5.9389408665507375,82.84,4
48.28,17.312,97.968,6.624,96.312,73.12,9.73101425178796,53.28,0
50.48,18.096,94.096,8.096,92.144,80.24,9.63414414189856,55.24,1
96.192,26.192,85.24,17.096,82.288,100.24,4.515805654089879,75.48,4
57.68,19.536,95.536,9.536,94.304,83.84,8.341775174780132,58.84,1
45.16,16.064,96.096,4.128,95.064,60.64,9.337286439848862,50.16,0
48.68,17.472,98.208,6.944,96.472,74.72,9.858751978255173,53.68,0
98.016,28.016,87.52,18.008,85.024,102.52,5.11352578602786,80.04,4
96.8,26.8,86.0,17.4,83.2,101.0,5.1432253789398,77.0,4
56.48,19.296,95.296,9.296,93.944,83.24,8.559958187320568,58.24,1
90.08,24.688,91.344,15.36,89.344,98.36,5.538985866383873,71.72,3
96.0,26.0,85.0,17.0,82.0,100.0,4.374087497115047,75.0,4
50.64,18.128,94.128,8.128,92.192,80.32,8.647358472808488,55.32,1
50.56,18.112,94.112,8.112,92.168,80.28,8.850872877232833,55.28,1
53.92,18.784,94.784,8.784,93.176,81.96,9.01522075736891,56.96,1
96.672,26.672,85.84,17.336,83.008,100.84,4.48481946483016,76.68,4
68.32,20.832,92.832,10.832,90.832,89.16,6.229673649478407,62.08,2
54.88,18.976,94.976,8.976,93.464,82.44,9.221240084883265,57.44,1
52.4,18.48,94.48,8.48,92.72,81.2,8.577261106480512,56.2,1
51.6,18.32,94.32,8.32,92.48,80.8,9.162476442845223,55.8,1
92.48,25.328,91.664,16.16,89.664,99.16,4.308725430548405,73.32,3
98.24,28.24,87.8,18.12,85.36,102.8,4.962280203709635,80.6,4
65.12,20.512,92.512,10.512,90.512,87.56,7.065178865103172,61.28,2
86.6,23.76,90.88,14.2,88.88,97.2,4.103647073644854,69.4,3
68.0,20.8,92.8,10.8,90.8,89.0,6.673208556387841,62.0,2
99.808,29.808,89.76,18.904,87.712,104.76,4.2688293538779485,84.52,4
45.2,16.08,96.12,4.16,95.08,60.8,8.126749940945535,50.2,0
63.2,20.32,92.32,10.32,90.32,86.6,7.979920464779891,60.8,2
98.272,28.272,87.84,18.136,85.408,102.84,4.6447076899494455,80.68,4
75.2,21.52,93.52,11.52,91.52,92.6,7.619748891709269,63.8,2
76.96,21.696,93.696,11.696,91.696,93.48,6.509281309527528,64.24,2
80.0,22.0,90.0,12.0,88.0,95.0,5.363005444447858,65.0,3
99.616,29.616,89.52,18.808,87.424,104.52,5.520455719779373,84.04,4
97.216,27.216,86.52,17.608,83.824,101.52,5.191277481215689,78.04,4
45.04,16.016,96.024,4.032,95.016,60.16,8.943152377100317,50.04,0
97.376,27.376,86.72,17.688,84.064,101.72,4.8236818282945375,78.44,4
53.52,18.704,94.704,8.704,93.056,81.76,8.69773653308599,56.76,1
61.44,20.144,92.144,10.144,90.144,85.72,7.8590582884956515,60.36,2
62.24,20.224,92.224,10.224,90.224,86.12,7.661238815575459,60.56,2
79.2,21.92,93.92,11.92,91.92,94.6,7.930053821333026,64.8,2
96.96,26.96,86.2,17.48,83.44,101.2,4.248594446971089,77.4,4
54.4,18.88,94.88,8.88,93.32,82.2,9.461734950407289,57.2,1
68.96,20.896,92.896,10.896,90.896,89.48,7.876680913642076,62.24,2
96.608,26.608,85.76,17.304,82.912,100.76,4.3624661323313205,76.52,4
47.44,16.976,97.464,5.952,95.976,69.76,8.132992534733555,52.44,0
90.56,24.816,91.408,15.52,89.408,98.52,5.482241298580118,72.04,3
66.88,20.688,92.688,10.688,90.688,88.44,7.148946226359824,61.72,2
97.92,27.92,87.4,17.96,84.88,102.4,5.683657553516544,79.8,4
68.64,20.864,92.864,10.864,90.864,89.32,6.279544753252579,62.16,2
76.0,21.6,93.6,11.6,91.6,93.0,7.590534623719781,64.0,2
49.52,17.808,98.712,7.616,96.808,78.08,8.40325464009549,54.52,0
54.96,18.992,94.992,8.992,93.488,82.48,8.327311885731408,57.48,1
55.28,19.056,95.056,9.056,93.584,82.64,8.328531595861985,57.64,1
90.32,24.752,91.376,15.44,89.376,98.44,5.629149440462764,71.88,3
97.312,27.312,86.64,17.656,83.968,101.64,5.3303944413924,78.28,4
58.08,19.616,95.616,9.616,94.424,84.04,9.04613084953824,59.04,1
83.6,22.96,90.48,13.2,88.48,96.2,4.717660968247005,67.4,3
98.112,28.112,87.64,18.056,85.168,102.64,5.7544010816262166,80.28,4
98.208,28.208,87.76,18.104,85.312,102.76,4.784890214845271,80.52,4
65.76,20.576,92.576,10.576,90.576,87.88,7.633198878943154,61.44,2
57.2,19.44,95.44,9.44,94.16,83.6,8.878269817140437,58.6,1
97.568,27.568,86.96,17.784,84.352,101.96,4.753888858849815,78.92,4
68.8,20.88,92.88,10.88,90.88,89.4,6.925359571339213,62.2,2
47.8,17.12,97.68,6.24,96.12,71.2,8.602755748328285,52.8,0
97.184,27.184,86.48,17.592,83.776,101.48,5.495218760352502,77.96,4
92.72,25.392,91.696,16.24,89.696,99.24,5.005440780184959,73.48,3
59.68,19.936,95.936,9.936,94.904,84.84,8.464425390293634,59.84,1
48.56,17.424,98.136,6.848,96.424,74.24,9.799149146549135,53.56,0
48.36,17.344,98.016,6.688,96.344,73.44,8.767782442746423,53.36,0
78.08,21.808,93.808,11.808,91.808,94.04,7.087105722227977,64.52,2
96.736,26.736,85.92,17.368,83.104,100.92,5.812944221929094,76.84,4
47.72,17.088,97.632,6.176,96.088,70.88,9.248475991827984,52.72,0
71.36,21.136,93.136,11.136,91.136,90.68,6.233796081416728,62.84,2
81.44,22.384,90.192,12.48,88.192,95.48,5.87966424722695,65.96,3
78.4,21.84,93.84,11.84,91.84,94.2,7.255416106142835,64.6,2
49.32,17.728,98.592,7.456,96.728,77.28,8.669811229314172,54.32,0
68.48,20.848,92.848,10.848,90.848,89.24,6.278544145326775,62.12,2
46.92,16.768,97.152,5.536,95.768,67.68,9.588050378540592,51.92,0
48.76,17.504,98.256,7.008,96.504,75.04,9.240145511857026,53.76,0
45.08,16.032,96.048,4.064,95.032,60.32,9.066922183952643,50.08,0
45.12,16.048,96.072,4.096,95.048,60.48,9.787785166101916,50.12,0
50.32,18.064,94.064,8.064,92.096,80.16,9.57719442244906,55.16,1
88.52,24.272,91.136,14.84,89.136,97.84,4.303349759465503,70.68,3
47.88,17.152,97.728,6.304,96.152,71.52,8.623444135591097,52.88,0
96.864,26.864,86.08,17.432,83.296,101.08,4.496978279628932,77.16,4
96.096,26.096,85.12,17.048,82.144,100.12,5.487892585145354,75.24,4
49.0,17.6,98.4,7.2,96.6,76.0,8.067064869471558,54.0,0
64.64,20.464,92.464,10.464,90.464,87.32,7.139779369742633,61.16,2
93.32,25.552,91.776,16.44,89.776,99.44,5.524917371481381,73.88,3
74.56,21.456,93.456,11.456,91.456,92.28,7.753531273523499,63.64,2
96.32,26.32,85.4,17.16,82.48,100.4,4.684163497431815,75.8,4
98.784,28.784,88.48,18.392,86.176,103.48,5.642514609344026,81.96,4
98.88,28.88,88.6,18.44,86.32,103.6,4.221263473910415,82.2,4
70.56,21.056,93.056,11.056,91.056,90.28,7.692904583469036,62.64,2
55.76,19.152,95.152,9.152,93.728,82.88,8.254977324663965,57.88,1
66.08,20.608,92.608,10.608,90.608,88.04,6.794574581120735,61.52,2
99.392,29.392,89.24,18.696,87.088,104.24,5.594590731559107,83.48,4
76.8,21.68,93.68,11.68,91.68,93.4,6.299834854697547,64.2,2
46.8,16.72,97.08,5.44,95.72,67.2,8.458502790465284,51.8,0
47.28,16.912,97.368,5.824,95.912,69.12,9.444505136786132,52.28,0
99.776,29.776,89.72,18.888,87.664,104.72,5.440073073092149,84.44,4
100.0,30.0,90.0,19.0,88.0,105.0,5.282295265770594,85.0,4
59.6,19.92,95.92,9.92,94.88,84.8,9.3878968889342,59.8,1
74.72,21.472,93.472,11.472,91.472,92.36,7.085448886695192,63.68,2
71.2,21.12,93.12,11.12,91.12,90.6,6.5035981178139055,62.8,2
58.16,19.632,95.632,9.632,94.448,84.08,8.691391987007838,59.08,1
53.44,18.688,94.688,8.688,93.032,81.72,8.36319543360285,56.72,1
52.56,18.512,94.512,8.512,92.768,81.28,9.816901122667256,56.28,1
54.32,18.864,94.864,8.864,93.296,82.16,9.16678358953224,57.16,1
98.08,28.08,87.6,18.04,85.12,102.6,4.80170283352728,80.2,4
92.0,25.2,91.6,16.0,89.6,99.0,4.924011607288265,73.0,3
58.88,19.776,95.776,9.776,94.664,84.44,9.894566679223631,59.44,1
55.2,19.04,95.04,9.04,93.56,82.6,8.30670280623216,57.6,1
53.36,18.672,94.672,8.672,93.008,81.68,9.172459664033594,56.68,1
79.04,21.904,93.904,11.904,91.904,94.52,7.011777357768932,64.76,2
58.24,19.648,95.648,9.648,94.472,84.12,9.222908470869296,59.12,1
46.2,16.48,96.72,4.96,95.48,64.8,8.03622036764168,51.2,0
67.04,20.704,92.704,10.704,90.704,88.52,7.7442478178883025,61.76,2
47.04,16.816,97.224,5.632,95.816,68.16,9.864236564967223,52.04,0
73.76,21.376,93.376,11.376,91.376,91.88,7.130266367178418,63.44,2
57.04,19.408,95.408,9.408,94.112,83.52,9.393301647753784,58.52,1
72.48,21.248,93.248,11.248,91.248,91.24,7.844998762354591,63.12,2
52.8,18.56,94.56,8.56,92.84,81.4,9.414477268626795,56.4,1
57.28,19.456,95.456,9.456,94.184,83.64,8.305078085828523,58.64,1
96.384,26.384,85.48,17.192,82.576,100.48,5.152576720333626,75.96,4
88.4,24.24,91.12,14.8,89.12,97.8,5.213430092765712,70.6,3
98.304,28.304,87.88,18.152,85.456,102.88,4.848261342604772,80.76,4
46.68,16.672,97.008,5.344,95.672,66.72,9.472888471249446,51.68,0
45.96,16.384,96.576,4.768,95.384,63.84,9.868734029538029,50.96,0
48.64,17.456,98.184,6.912,96.456,74.56,9.851137025813554,53.64,0
67.36,20.736,92.736,10.736,90.736,88.68,6.901678742808264,61.84,2
88.76,24.336,91.168,14.92,89.168,97.92,4.22647609168151,70.84,3
46.36,16.544,96.816,5.088,95.544,65.44,9.96968239792467,51.36,0
45.44,16.176,96.264,4.352,95.176,61.76,9.677796172891869,50.44,0
48.84,17.536,98.304,7.072,96.536,75.36,8.249325362406534,53.84,0
80.0,22.0,94.0,12.0,92.0,95.0,7.841683765234745,65.0,2
96.64,26.64,85.8,17.32,82.96,100.8,5.739792724124257,76.6,4
45.32,16.128,96.192,4.256,95.128,61.28,9.037676114252143,50.32,0
67.68,20.768,92.768,10.768,90.768,88.84,7.182550871489859,61.92,2
99.552,29.552,89.44,18.776,87.328,104.44,4.798005407740261,83.88,4
58.32,19.664,95.664,9.664,94.496,84.16,8.109523277644062,59.16,1
52.08,18.416,94.416,8.416,92.624,81.04,8.670394483291801,56.04,1
56.56,19.312,95.312,9.312,93.968,83.28,9.605706897196022,58.28,1
82.28,22.608,90.304,12.76,88.304,95.76,4.009264046009205,66.52,3
45.48,16.192,96.288,4.384,95.192,61.92,8.66699834338229,50.48,0
48.72,17.488,98.232,6.976,96.488,74.88,8.796337387181886,53.72,0
93.08,25.488,91.744,16.36,89.744,99.36,5.0747912058758455,73.72,3
87.44,23.984,90.992,14.48,88.992,97.48,5.839711232825521,69.96,3
47.4,16.96,97.44,5.92,95.96,69.6,8.692691988731923,52.4,0
77.76,21.776,93.776,11.776,91.776,93.88,6.693906403792456,64.44,2
65.28,20.528,92.528,10.528,90.528,87.64,7.475002496219496,61.32,2
61.76,20.176,92.176,10.176,90.176,85.88,6.904435881779614,60.44,2
59.36,19.872,95.872,9.872,94.808,84.68,8.449209645879964,59.68,1
97.088,27.088,86.36,17.544,83.632,101.36,4.904879032265387,77.72,4
47.2,16.88,97.32,5.76,95.88,68.8,8.2817140407596,52.2,0
55.68,19.136,95.136,9.136,93.704,82.84,8.352773973012447,57.84,1
80.12,22.032,90.016,12.04,88.016,95.04,4.996735545478959,65.08,3
96.768,26.768,85.96,17.384,83.152,100.96,4.837850899009096,76.92,4
61.12,20.112,92.112,10.112,90.112,85.56,7.8296918021362,60.28,2
50.0,18.0,94.0,8.0,92.0,80.0,8.724787798233265,55.0,1
97.408,27.408,86.76,17.704,84.112,101.76,5.161176700556087,78.52,4
45.52,16.208,96.312,4.416,95.208,62.08,9.26452857583906,50.52,0
91.4,25.04,91.52,15.8,89.52,98.8,4.026188913176667,72.6,3
97.056,27.056,86.32,17.528,83.584,101.32,5.327074744033421,77.64,4
57.44,19.488,95.488,9.488,94.232,83.72,8.356071933739504,58.72,1
90.44,24.784,91.392,15.48,89.392,98.48,5.92214063493891,71.96,3
46.76,16.704,97.056,5.408,95.704,67.04,8.297325455506225,51.76,0
45.84,16.336,96.504,4.672,95.336,63.36,8.829248247454048,50.84,0
88.64,24.304,91.152,14.88,89.152,97.88,4.170699336157288,70.76,3
98.048,28.048,87.56,18.024,85.072,102.56,5.993748503691895,80.12,4
83.12,22.832,90.416,13.04,88.416,96.04,5.004390020662485,67.08,3
56.64,19.328,95.328,9.328,93.992,83.32,9.190770034640089,58.32,1
98.176,28.176,87.72,18.088,85.264,102.72,4.134152954776855,80.44,4
93.44,25.584,91.792,16.48,89.792,99.48,5.499920940798356,73.96,3
84.44,23.184,90.592,13.48,88.592,96.48,4.419811186191172,67.96,3
98.432,28.432,88.04,18.216,85.648,103.04,5.796108578881428,81.08,4
80.96,22.256,90.128,12.32,88.128,95.32,4.410279280964014,65.64,3
49.08,17.632,98.448,7.264,96.632,76.32,8.381375441327332,54.08,0
86.96,23.856,90.928,14.32,88.928,97.32,4.07309933569619,69.64,3
79.36,21.936,93.936,11.936,91.936,94.68,6.944133890219998,64.84,2
81.2,22.32,90.16,12.4,88.16,95.4,5.129682266525233,65.8,3
83.96,23.056,90.528,13.32,88.528,96.32,4.131417278856705,67.64,3
51.36,18.272,94.272,8.272,92.408,80.68,9.551055233390022,55.68,1
97.248,27.248,86.56,17.624,83.872,101.56,4.906577669496056,78.12,4
60.16,20.016,92.016,10.016,90.016,85.08,7.04878053865516,60.04,2
82.76,22.736,90.368,12.92,88.368,95.92,4.881525493876456,66.84,3
51.12,18.224,94.224,8.224,92.336,80.56,8.801526121750651,55.56,1
92.96,25.456,91.728,16.32,89.728,99.32,5.119280662616436,73.64,3
74.88,21.488,93.488,11.488,91.488,92.44,6.310480491861425,63.72,2
83.48,22.928,90.464,13.16,88.464,96.16,4.363856260990542,67.32,3
97.632,27.632,87.04,17.816,84.448,102.04,5.723571242027035,79.08,4
69.44,20.944,92.944,10.944,90.944,89.72,7.892230924267265,62.36,2
99.872,29.872,89.84,18.936,87.808,104.84,4.746618632559506,84.68,4
81.92,22.512,90.256,12.64,88.256,95.64,4.541489346287108,66.28,3
73.12,21.312,93.312,11.312,91.312,91.56,7.287999086478031,63.28,2
48.88,17.552,98.328,7.104,96.552,75.52,8.817468342196193,53.88,0
47.12,16.848,97.272,5.696,95.848,68.48,8.05077271132069,52.12,0
56.16,19.232,95.232,9.232,93.848,83.08,8.312305194732382,58.08,1
77.44,21.744,93.744,11.744,91.744,93.72,7.4319444576947955,64.36,2
84.8,23.28,90.64,13.6,88.64,96.6,5.317847883820303,68.2,3
74.4,21.44,93.44,11.44,91.44,92.2,6.054191985006967,63.6,2
77.92,21.792,93.792,11.792,91.792,93.96,6.443944323865899,64.48,2
98.848,28.848,88.56,18.424,86.272,103.56,4.462149593176143,82.12,4
99.04,29.04,88.8,18.52,86.56,103.8,5.343785487197457,82.6,4
58.56,19.712,95.712,9.712,94.568,84.28,8.039421075508729,59.28,1
46.64,16.656,96.984,5.312,95.656,66.56,8.208217163969147,51.64,0
98.656,28.656,88.32,18.328,85.984,103.32,5.599832170746379,81.64,4
51.92,18.384,94.384,8.384,92.576,80.96,8.357089324108667,55.96,1
70.08,21.008,93.008,11.008,91.008,90.04,7.305492215703749,62.52,2
89.48,24.528,91.264,15.16,89.264,98.16,4.476365562093453,71.32,3
96.928,26.928,86.16,17.464,83.392,101.16,4.19888278551869,77.32,4
89.36,24.496,91.248,15.12,89.248,98.12,4.486344381998908,71.24,3
94.28,25.808,91.904,16.76,89.904,99.76,5.444533863711318,74.52,3
83.36,22.896,90.448,13.12,88.448,96.12,5.711392936212572,67.24,3
45.36,16.144,96.216,4.288,95.144,61.44,9.660439729133984,50.36,0
94.88,25.968,91.984,16.96,89.984,99.96,4.79436705923691,74.92,3
47.24,16.896,97.344,5.792,95.896,68.96,9.336170273141292,52.24,0
54.56,18.912,94.912,8.912,93.368,82.28,8.409968590831642,57.28,1
89.84,24.624,91.312,15.28,89.312,98.28,4.5862954605220265,71.56,3
89.0,24.4,91.2,15.0,89.2,98.0,5.79267163704224,71.0,3
88.28,24.208,91.104,14.76,89.104,97.76,4.026003847021472,70.52,3
64.32,20.432,92.432,10.432,90.432,87.16,6.171017061708936,61.08,2
96.48,26.48,85.6,17.24,82.72,100.6,4.415772510292054,76.2,4
48.24,17.296,97.944,6.592,96.296,72.96,8.05306440774764,53.24,0
97.344,27.344,86.68,17.672,84.016,101.68,4.362870870179595,78.36,4
45.88,16.352,96.528,4.704,95.352,63.52,9.166083121939383,50.88,0
98.368,28.368,87.96,18.184,85.552,102.96,4.842849101184996,80.92,4
49.68,17.872,98.808,7.744,96.872,78.72,9.78534342215395,54.68,0
69.12,20.912,92.912,10.912,90.912,89.56,7.634887123476882,62.28,2
59.52,19.904,95.904,9.904,94.856,84.76,8.683634703395752,59.76,1
76.48,21.648,93.648,11.648,91.648,93.24,6.518846866862585,64.12,2
53.12,18.624,94.624,8.624,92.936,81.56,8.759384816334533,56.56,1
86.36,23.696,90.848,14.12,88.848,97.12,5.180589885029615,69.24,3
49.36,17.744,98.616,7.488,96.744,77.44,8.536127281645753,54.36,0
46.0,16.4,96.6,4.8,95.4,64.0,9.248297815698267,51.0,0
91.76,25.136,91.568,15.92,89.568,98.92,4.818823304382481,72.84,3
65.92,20.592,92.592,10.592,90.592,87.96,7.104094361703961,61.48,2
62.56,20.256,92.256,10.256,90.256,86.28,6.872253058270633,60.64,2
96.704,26.704,85.88,17.352,83.056,100.88,4.588931519083835,76.76,4
72.32,21.232,93.232,11.232,91.232,91.16,7.896906613924314,63.08,2
90.92,24.912,91.456,15.64,89.456,98.64,5.527211588319521,72.28,3
48.8,17.52,98.28,7.04,96.52,75.2,8.280226351532905,53.8,0
85.04,23.344,90.672,13.68,88.672,96.68,5.736935951795825,68.36,3
71.04,21.104,93.104,11.104,91.104,90.52,6.974862396499027,62.76,2
55.92,19.184,95.184,9.184,93.776,82.96,9.789104453788182,57.96,1
45.56,16.224,96.336,4.448,95.224,62.24,9.59971051189463,50.56,0
56.8,19.36,95.36,9.36,94.04,83.4,8.850427008938468,58.4,1
49.8,17.92,98.88,7.84,96.92,79.2,8.044938616640234,54.8,0
95.0,26.0,92.0,17.0,90.0,100.0,4.537354718769892,75.0,3
87.2,23.92,90.96,14.4,88.96,97.4,5.083268429321734,69.8,3
82.52,22.672,90.336,12.84,88.336,95.84,5.266956439652295,66.68,3
48.0,17.2,97.8,6.4,96.2,72.0,8.515775370866404,53.0,0
91.16,24.976,91.488,15.72,89.488,98.72,4.278712148145648,72.44,3
96.032,26.032,85.04,17.016,82.048,100.04,5.669860473598599,75.08,4
71.52,21.152,93.152,11.152,91.152,90.76,7.968804361407104,62.88,2
96.064,26.064,85.08,17.032,82.096,100.08,5.051380364605372,75.16,4
89.6,24.56,91.28,15.2,89.28,98.2,4.343358571696607,71.4,3
99.68,29.68,89.6,18.84,87.52,104.6,4.544614653038738,84.2,4
57.6,19.52,95.52,9.52,94.28,83.8,8.036781353094934,58.8,1
70.72,21.072,93.072,11.072,91.072,90.36,7.828597613120998,62.68,2
49.4,17.76,98.64,7.52,96.76,77.6,8.235502165780282,54.4,0
74.08,21.408,93.408,11.408,91.408,92.04,7.153032951028507,63.52,2
96.992,26.992,86.24,17.496,83.488,101.24,4.548110441374412,77.48,4
49.2,17.68,98.52,7.36,96.68,76.8,9.108356005031586,54.2,0
51.04,18.208,94.208,8.208,92.312,80.52,9.302840776703729,55.52,1
84.68,23.248,90.624,13.56,88.624,96.56,5.659483607414403,68.12,3
98.464,28.464,88.08,18.232,85.696,103.08,4.412842543521206,81.16,4
46.24,16.496,96.744,4.992,95.496,64.96,8.021991657316962,51.24,0
50.72,18.144,94.144,8.144,92.216,80.36,8.273771260137615,55.36,1
47.52,17.008,97.512,6.016,96.008,70.08,9.80003728369621,52.52,0
47.08,16.832,97.248,5.664,95.832,68.32,9.74778015512503,52.08,0
89.12,24.432,91.216,15.04,89.216,98.04,5.194826204340616,71.08,3
45.6,16.24,96.36,4.48,95.24,62.4,9.201033720867306,50.6,0
45.68,16.272,96.408,4.544,95.272,62.72,9.330073349092512,50.68,0
64.16,20.416,92.416,10.416,90.416,87.08,6.3507425572469,61.04,2
92.12,25.232,91.616,16.04,89.616,99.04,5.82882389184992,73.08,3
72.64,21.264,93.264,11.264,91.264,91.32,6.8375410497841465,63.16,2
97.28,27.28,86.6,17.64,83.92,101.6,4.7662770564989945,78.2,4
49.56,17.824,98.736,7.648,96.824,78.24,9.037835410565677,54.56,0
59.44,19.888,95.888,9.888,94.832,84.72,8.09393193355011,59.72,1
92.36,25.296,91.648,16.12,89.648,99.12,4.332566737512159,73.24,3
97.44,27.44,86.8,17.72,84.16,101.8,5.476067232852741,78.6,4
80.72,22.192,90.096,12.24,88.096,95.24,4.1655973358502525,65.48,3
99.936,29.936,89.92,18.968,87.904,104.92,5.206304218932776,84.84,4
99.168,29.168,88.96,18.584,86.752,103.96,4.490698219362642,82.92,4
85.16,23.376,90.688,13.72,88.688,96.72,4.778591228083953,68.44,3
97.696,27.696,87.12,17.848,84.544,102.12,4.5773874735414,79.24,4
75.84,21.584,93.584,11.584,91.584,92.92,6.711345432929898,63.96,2
45.0,16.0,96.0,4.0,95.0,60.0,9.43809181036849,50.0,0
98.496,28.496,88.12,18.248,85.744,103.12,4.59424343124635,81.24,4
64.0,20.4,92.4,10.4,90.4,87.0,7.132809280593794,61.0,2
81.32,22.352,90.176,12.44,88.176,95.44,4.952100804398199,65.88,3
75.52,21.552,93.552,11.552,91.552,92.76,7.327342330725296,63.88,2
52.0,18.4,94.4,8.4,92.6,81.0,9.873659478649516,56.0,1
66.4,20.64,92.64,10.64,90.64,88.2,7.465144194420501,61.6,2
71.84,21.184,93.184,11.184,91.184,90.92,6.429880757181514,62.96,2
99.072,29.072,88.84,18.536,86.608,103.84,4.06236627012257,82.68,4
49.24,17.696,98.544,7.392,96.696,76.96,8.52452808859965,54.24,0
86.48,23.728,90.864,14.16,88.864,97.16,5.19015586140051,69.32,3
